"","author","year","file","titles","periodical","volume","number"
"1594","Best",1978,"Best-1978-Growth of Myriophyll.txt","Growth of Myriophyllum - Sediment or Lake Water as the Source of Nitrogen and PhosphorusEcologyEcology","Ecology","59","5"
"1595","Cropp",2002,"Cropp-2002-Ecosystem adaptation.txt","Ecosystem adaptation: Do ecosystems maximize resilience?EcologyEcology","Ecology","83","7"
"1596","Ahlgren",1960,"Ahlgren-1960-Some Effects of Fire.txt","Some Effects of Fire on Reproduction and Growth of Vegetation in Northeastern MinnesotaEcologyEcology","Ecology","41","3"
"1597","Bender",1984,"Bender-1984-Perturbation Experim.txt","Perturbation Experiments in Community Ecology - Theory and PracticeEcologyEcology","Ecology","65","1"
"1598","Forman",1975,"Forman-1975-Canopy Lichens with.txt","Canopy Lichens with Blue-Green-Algae - Nitrogen-Source in a Colombian Rain-ForestEcologyEcology","Ecology","56","5"
"1599","Canham",1989,"Canham-1989-Different Responses.txt","Different Responses to Gaps among Shade-Tolerant Tree SpeciesEcologyEcology","Ecology","70","3"
"1600","Canham",1988,"Canham-1988-Growth and Canopy Ar.txt","Growth and Canopy Architecture of Shade-Tolerant Trees - Response to Canopy GapsEcologyEcology","Ecology","69","3"
"1601","Martinse.Dl",1969,"Martinse.Dl-1969-Energetics and Activ.txt","Energetics and Activity Patterns of Short-Tailed Shrews (Blarina) on Restricted DietsEcologyEcology","Ecology","50","3"
"1603","Cottam",1945,"Cottam-1945-A Comparative Study.txt","A Comparative Study of the Vegetation of Grazed and Ungrazed Canyons of the Wasatch-Range, UtahEcologyEcology","Ecology","26","2"
"1604","Devita",1979,"Devita-1979-Mechanisms of Interf.txt","Mechanisms of Interference and Foraging among Colonies of the Harvester Ant Pogonomyrmex-Californicus in the Mojave DesertEcologyEcology","Ecology","60","4"
"1605","Gordon",1993,"Gordon-1993-Competitive Effects.txt","Competitive Effects of Grassland Annuals on Soil-Water and Blue Oak (Quercus-Douglasii) SeedlingsEcologyEcology","Ecology","74","1"
"1606","Chapman",1947,"Chapman-1947-Natural AreasEcology.txt","Natural AreasEcologyEcology","Ecology","28","2"
"1607","Lewis",1963,"Lewis-1963-A Device for Taking.txt","A Device for Taking Water Samples in Sterile Bottles at Various DepthsEcologyEcology","Ecology","44","1"
"1608","Arlt",2007,"Arlt-2007-Nonideal breeding ha.txt","Nonideal breeding habitat selection: A mismatch between preference and fitnessEcologyEcology","Ecology","88","3"
"1609","Christensen",1962,"Christensen-1962-Classification of Wi.txt","Classification of Winter Habitats of White-Tailed Deer in Northern Wisconsin Based on Forest OrdinationEcologyEcology","Ecology","43","1"
"1610","Rupp",1966,"Rupp-1966-Transfer Studies of.txt","Transfer Studies of Ecologic and Genetic Variation in American SmeltEcologyEcology","Ecology","47","2"
"1611","Anderson",1955,"Anderson-1955-Water Relations in 2.txt","Water Relations in 2 Species of Terrestrial MossesEcologyEcology","Ecology","36","2"
"1612","Fox",1950,"Fox-1950-Comparative Metaboli.txt","Comparative Metabolism of Organic Detritus by Inshore AnimalsEcologyEcology","Ecology","31","1"
"1613","Bowers",1985,"Bowers-1985-Bumble Bee Colonizat.txt","Bumble Bee Colonization, Extinction, and Reproduction in Subalpine Meadows in Northeastern UtahEcologyEcology","Ecology","66","3"
"1614","Bossard",1990,"Bossard-1990-Tracing of Ant-Dispe.txt","Tracing of Ant-Dispersed Seeds - a New TechniqueEcologyEcology","Ecology","71","6"
"1615","Allison",1986,"Allison-1986-Pollen in Laminated.txt","Pollen in Laminated Sediments Provides Evidence for a Midholocene Forest Pathogen OutbreakEcologyEcology","Ecology","67","4"
"1616","Brugam",1978,"Brugam-1978-Human Disturbance an.txt","Human Disturbance and Historical Development of Linsley PondEcologyEcology","Ecology","59","1"
"1617","Bonan",1988,"Bonan-1988-The Size Structure o.txt","The Size Structure of Theoretical Plant-Populations - Spatial Patterns and Neighborhood EffectsEcologyEcology","Ecology","69","6"
"1618","Case",1976,"Case-1976-Body Size Difference.txt","Body Size Differences between Populations of Chuckwalla, Sauromalus-ObesusEcologyEcology","Ecology","57","2"
"1619","Hughes",1990,"Hughes-1990-Removal Rates of See.txt","Removal Rates of Seeds Adapted for Dispersal by AntsEcologyEcology","Ecology","71","1"
"1620","Coleman",2008,"Coleman-2008-Overestimations of f.txt","Overestimations of food abundance: Predator responses to prey aggregationEcologyEcology","Ecology","89","7"
"1621","Becerra",1994,"Becerra-1994-Squirt-Gun Defense i.txt","Squirt-Gun Defense in Bursera and the Chrysomelid CounterployEcologyEcology","Ecology","75","7"
"1622","Allen",1942,"Allen-1942-An ecological study.txt","An ecological study of winter dens, with special reference to the eastern skunkEcologyEcology","Ecology","23","1"
"1623","de Kroon",2000,"de Kroon-2000-Elasticities_ A revi.txt","Elasticities: A review of methods and model limitationsEcologyEcology","Ecology","81","3"
"1624","Cardillo",2005,"Cardillo-2005-Testing for latitudi.txt","Testing for latitudinal bias in diversification rates: An example using New World birdsEcologyEcology","Ecology","86","9"
"1625","Chapin",1985,"Chapin-1985-Individualistic Grow.txt","Individualistic Growth-Response of Tundra Plant-Species to Environmental Manipulations in the FieldEcologyEcology","Ecology","66","2"
"1626","Danell",1991,"Danell-1991-Herbivory and Tree S.txt","Herbivory and Tree Stand Composition - Moose Patch Use in WinterEcologyEcology","Ecology","72","4"
"1628","Moore",1950,"Moore-1950-A New Locality Recor.txt","A New Locality Record for Branchinecta-Coloradensis, with Habitat Notes on 2 Species of Fairy Shrimp in Central TexasEcologyEcology","Ecology","31","4"
"1629","Demarte",1974,"Demarte-1974-Studies on Absorptio.txt","Studies on Absorption of P-32, Fe-59 and Ca-45 by Water-Milfoil (Myriophyllum-Exalbescens Fernald)EcologyEcology","Ecology","55","1"
"1630","Bleakney",1972,"Bleakney-1972-Ecological Implicati.txt","Ecological Implications of Annual Variation in Tidal ExtremesEcologyEcology","Ecology","53","5"
"1631","Davis",1956,"Davis-1956-Notes on a Bloom of.txt","Notes on a Bloom of Euglena-Haematodes in OhioEcologyEcology","Ecology","37","1"
"1633","Armstrong",1976,"Armstrong-1976-Fugitive Species - E.txt","Fugitive Species - Experiments with Fungi and Some Theoretical ConsiderationsEcologyEcology","Ecology","57","5"
"1634","Ackerly",1995,"Ackerly-1995-Seedling Crown Orien.txt","Seedling Crown Orientation and Interception of Diffuse-Radiation in Tropical Forest GapsEcologyEcology","Ecology","76","4"
"1635","Cooper",1960,"Cooper-1960-A Further Applicatio.txt","A Further Application of Length-Width Values to the Determination of Leaf-Size ClassesEcologyEcology","Ecology","41","4"
"1636","Flueck",1994,"Flueck-1994-Effect of Trace-Elem.txt","Effect of Trace-Elements on Population-Dynamics - Selenium Deficiency in Free-Ranging Black-Tailed DeerEcologyEcology","Ecology","75","3"
"1637","Callaway",1992,"Callaway-1992-Effect of Shrubs on.txt","Effect of Shrubs on Recruitment of Quercus-Douglasii and Quercus-Lobata in CaliforniaEcologyEcology","Ecology","73","6"
"1638","Gottlieb",1968,"Gottlieb-1968-Species Recognition.txt","Species Recognition in Ground-Nesting and Hole-Nesting DucklingsEcologyEcology","Ecology","49","1"
"1639","Cook",1942,"Cook-1942-Insects and weather.txt","Insects and weather as they influence growth of cactus on the central Great PlainsEcologyEcology","Ecology","23","2"
"1640","Caraco",1980,"Caraco-1980-On Foraging Time All.txt","On Foraging Time Allocation in a Stochastic EnvironmentEcologyEcology","Ecology","61","1"
"1641","Augspurger",1981,"Augspurger-1981-Reproductive Synchro.txt","Reproductive Synchrony of a Tropical Shrub - Experimental Studies on Effects of Pollinators and Seed Predators on Hybanthus-Prunifolius (Violaceae)EcologyEcology","Ecology","62","3"
"1642","Barnes",1966,"Barnes-1966-Clonal Growth Habit.txt","Clonal Growth Habit of American AspensEcologyEcology","Ecology","47","3"
"1643","Brown",1978,"Brown-1978-Life-History and Pop.txt","Life-History and Population Energetics of the Dobson Fly, Corydalus-CornutusEcologyEcology","Ecology","59","6"
"1644","Cushing",1964,"Cushing-1964-Plankton + Water Che.txt","Plankton + Water Chemistry in Montreal River Lake-Stream System SaskatchewanEcologyEcology","Ecology","45","2"
"1645","Fowler",1986,"Fowler-1986-Density-Dependent Po.txt","Density-Dependent Population Regulation in a Texas GrasslandEcologyEcology","Ecology","67","2"
"1646","Hershey",1985,"Hershey-1985-Effects of Predatory.txt","Effects of Predatory Sculpin on the Chironomid Communities in an Arctic LakeEcologyEcology","Ecology","66","4"
"1647","Humes",1948,"Humes-1948-Larval Coleoptera an.txt","Larval Coleoptera and Diptera from Marine CrustaceansEcologyEcology","Ecology","29","3"
"1648","Coe",2003,"Coe-2003-Water availability a.txt","Water availability affects clutch size in a desert sparrowEcologyEcology","Ecology","84","12"
"1649","Connor",1989,"Connor-1989-Periodic Extinctions.txt","Periodic Extinctions in Earth HistoryEcologyEcology","Ecology","70","4"
"1650","Bowers",1982,"Bowers-1982-Body Size and Coexis.txt","Body Size and Coexistence in Desert Rodents - Chance or Community StructureEcologyEcology","Ecology","63","2"
"1651","Davidson",1942,"Davidson-1942-Natural reproduction.txt","Natural reproduction of pink salmon studied at Little Port Walter, AlaskaEcologyEcology","Ecology","23","2"
"1652","Bates",1947,"Bates-1947-The Stratification o.txt","The Stratification of Mosquitoes in CagesEcologyEcology","Ecology","28","1"
"1653","Hubbard",1961,"Hubbard-1961-Meadow Mouse Girdlin.txt","Meadow Mouse Girdling - Another Cause of Death of Reseeded Bitterbrush PlantsEcologyEcology","Ecology","42","1"
"1654","Bouma",2010,"Bouma-2010-Comparing ecosystem.txt","Comparing ecosystem engineering efficiency of two plant species with contrasting growth strategiesEcologyEcology","Ecology","91","9"
"1655","Ashby",1957,"Ashby-1957-Studies in Halophyte.txt","Studies in Halophytes .3. Salinity Factors in the Growth of Australian SaltbushesEcologyEcology","Ecology","38","2"
"1656","Gankin",1964,"Gankin-1964-Arctostaphylos Myrti.txt","Arctostaphylos Myrtifolia Its Biology + Relationship to Problem of EndemismEcologyEcology","Ecology","45","4"
"1657","Bookman",1983,"Bookman-1983-Costs and Benefits o.txt","Costs and Benefits of Flower Abscission and Fruit Abortion in Asclepias-SpeciosaEcologyEcology","Ecology","64","2"
"1658","Abrams",2000,"Abrams-2000-The impact of habita.txt","The impact of habitat selection on the spatial heterogeneity of resources in varying environmentsEcologyEcology","Ecology","81","10"
"1659","Lillywhi.HbLicht",1973,"Lillywhi.HbLicht-1973-Role of Behavioral T.txt","Role of Behavioral Thermoregulation in Growth Energetics of Toad, Bufo-BoreasEcologyEcology","Ecology","54","2"
"1660","Forest",1959,"Forest-1959-Algal Establishment.txt","Algal Establishment on Sterilized Soil Replaced in an Oklahoma PrairieEcologyEcology","Ecology","40","3"
"1661","Abrams",2008,"Abrams-2008-Measuring the impact.txt","Measuring the impact of dynamic antipredator traits on predator-prey-resource interactionsEcologyEcology","Ecology","89","6"
"1662","Hairston",1980,"Hairston-1980-The Experimental Tes.txt","The Experimental Test of an Analysis of Field Distributions - Competition in Terrestrial SalamandersEcologyEcology","Ecology","61","4"
"1663","Allen",1959,"Allen-1959-Behavior of Chinook.txt","Behavior of Chinook and Silver SalmonEcologyEcology","Ecology","40","1"
"1664","Brown",1967,"Brown-1967-Ecological Distribut.txt","Ecological Distribution of Mice in Medicine Bow Mountains of WyomingEcologyEcology","Ecology","48","4"
"1665","Abramsky",2002,"Abramsky-2002-The costs of apprehe.txt","The costs of apprehensive foragingEcologyEcology","Ecology","83","5"
"1666","Coop",2008,"Coop-2008-Constraints on tree.txt","Constraints on tree seedling establishment in montane grasslands of the Valles Caldera, New MexicoEcologyEcology","Ecology","89","4"
"1667","Gavin",2003,"art100744.txt","Holocene fire history of a coastal temperate rain forest based on soil charcoal radiocarbon datesEcologyEcology","Ecology","84","1"
"1668","Bergeron",2004,"Bergeron-2004-Fire regimes at the.txt","Fire regimes at the transition between mixedwood and coniferous boreal forest in Northwestern QuebecEcologyEcology","Ecology","85","7"
"1670","Bernard",1963,"Bernard-1963-Forest Floor Moistur.txt","Forest Floor Moisture Capacity of New Jersey Pine BarrensEcologyEcology","Ecology","44","3"
"1671","Carr",1972,"Carr-1972-Site Fixity in Carib.txt","Site Fixity in Caribbean Green TurtleEcologyEcology","Ecology","53","3"
"1672","Finn",1980,"Finn-1980-Flow-Analysis of Mod.txt","Flow-Analysis of Models of the Hubbard Brook EcosystemEcologyEcology","Ecology","61","3"
"1673","Hargreaves",2010,"Hargreaves-2010-Native pollen thieve.txt","Native pollen thieves reduce the reproductive success of a hermaphroditic plant, Aloe maculataEcologyEcology","Ecology","91","6"
"1674","Brittain",1983,"Brittain-1983-The Influence of Tem.txt","The Influence of Temperature on Nymphal Growth-Rates in Mountain Stoneflies (Plecoptera)EcologyEcology","Ecology","64","3"
"1675","Cappuccino",1992,"Cappuccino-1992-The Nature of Popula.txt","The Nature of Population Stability in Eurosta-Solidaginis, a Nonoutbreaking Herbivore of GoldenrodEcologyEcology","Ecology","73","5"
"1676","Feder",1959,"Feder-1959-The Food of the Star.txt","The Food of the Starfish, Pisaster-Ochraceus, Along the California CoastEcologyEcology","Ecology","40","4"
"1677","Ball",1996,"Ball-1996-Predator-induced lif.txt","Predator-induced life history changes: Antipredator behavior costs or facultative life history shifts?EcologyEcology","Ecology","77","4"
"1678","Lamb",2008,"art101590.txt","Direct and indirect control of grassland community structure by litter, resources, and biomassEcologyEcology","Ecology","89","1"
"1679","Carreiro",2000,"Carreiro-2000-Microbial enzyme shi.txt","Microbial enzyme shifts explain litter decay responses to simulated nitrogen depositionEcologyEcology","Ecology","81","9"
"1680","Quested",2003,"Quested-2003-Decomposition of sub.txt","Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasitesEcologyEcology","Ecology","84","12"
"1681","Hunt",1999,"Hunt-1999-Correcting estimates.txt","Correcting estimates of root chemical composition for soil contaminationEcologyEcology","Ecology","80","2"
"1682","Brown",1977,"Brown-1977-Turnover Rates in In.txt","Turnover Rates in Insular Biogeography - Effect of Immigration on ExtinctionEcologyEcology","Ecology","58","2"
"1683","Ackerman",1990,"Ackerman-1990-Short-Term and Long-.txt","Short-Term and Long-Term Limitations to Fruit Production in a Tropical OrchidEcologyEcology","Ecology","71","1"
"1684","Bernhardt",2002,"Bernhardt-2002-Dissolved organic ca.txt","Dissolved organic carbon enrichment alters nitrogen dynamics in a forest streamEcologyEcology","Ecology","83","6"
"1685","Castro",1989,"Castro-1989-Energy Costs and Avi.txt","Energy Costs and Avian Distributions - Limitations or Chance - a CommentEcologyEcology","Ecology","70","4"
"1686","Goudie",1986,"Goudie-1986-Body Size, Activity.txt","Body Size, Activity Budgets, and Diets of Sea Ducks Wintering in NewfoundlandEcologyEcology","Ecology","67","6"
"1687","Allard",1943,"Allard-1943-The locust consocies.txt","The locust consocies in the developmental forest of Bull Run Mountain, VirginiaEcologyEcology","Ecology","24","4"
"1688","Hixon",1980,"Hixon-1980-Competitive Interact.txt","Competitive Interactions between California Reef Fishes of the Genus EmbiotocaEcologyEcology","Ecology","61","4"
